Agency
DEPT OF THE AIR FORCE
DEFENSE LOGISTICS AGENCY
FEDERAL ACQUISITION SERVICE
DEPT OF THE ARMY
U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
DEPT OF THE NAVY
AGRICULTURAL RESEARCH SERVICE
"VETERANS AFFAIRS, DEPARTMENT OF"
FOREST SERVICE
FEDERAL BUREAU OF INVESTIGATION
FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
U.S. COAST GUARD
U.S. SPECIAL OPERATIONS COMMAND (USSOCOM)
SMITHSONIAN INSTITUTION
U.S. FISH AND WILDLIFE SERVICE
NATURAL RESOURCES CONSERVATION SERVICE
NATIONAL INSTITUTES OF HEALTH
FEDERAL PRISON INDUSTRIES / UNICOR
ENVIRONMENTAL PROTECTION AGENCY
NATIONAL PARK SERVICE
ANIMAL AND PLANT HEALTH INSPECTION SERVICE
"STATE, DEPARTMENT OF"
BUREAU OF LAND MANAGEMENT
BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
J. F. KENNEDY CENTER FOR THE PERFORMING ARTS
UNITED STATES MINT
SOCIAL SECURITY ADMINISTRATION
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION
AGRICULTURAL MARKETING SERVICE
